	fold_change	P-value	std_error	-log10(P-value)	protein
160	-0.48920158125810476	0.4422430104231133	0.5539972755035675	0.35433902231571957	Prkcsh
161	-2.5762357655201527	0.5881182029651492	4.2611578372652605	0.23053537845381045	Prdx4
162	-0.040336252671623885	0.9601538159980458	0.7436601844320376	0.017659187701972116	RO60
163					Mapk12
164	-1.418274604421933	0.2230531869812922	0.9257968227670307	0.6515915671836237	Galnt1
165	0.07278389406368924	0.9295813742203354	0.7582449534673653	0.03171258671188592	Faah
166	0.7493958998064534	0.5114773395494242	1.0088747833037768	0.2911736024731183	Aip
167					Flot1
168					Hps1
169					Sdcbp
170	0.14826828594421915	0.9335747952891996	1.6378539979373308	0.029850881914037185	Atox1
171					Degs1
172	-0.3244590837871908	0.7780656630004754	1.0526318196490405	0.10898375021413842	Pex5
173	1.4827274067087717	0.34108474616561407	1.3135144219912396	0.4671377024754286	Snap23
174	-0.3713054060476315	0.3561804791549755	0.34126491408969556	0.44832988618549063	Psmb1
175	-0.4451612059583647	0.39800637205833295	0.4527664932480296	0.4001099748418406	Hdac1
176					Map2k3
177	-1.1366446058658926	0.6590836848755929	2.3298839674076	0.18105943886233042	Ndufb11
178					Sypl1
179	-0.960357874175037	0.3387853327841952	0.8459845063640975	0.4700754000791538	Gsto1
180	-0.9534621508975255	0.5136533712709106	1.2907967949523114	0.2893298571272772	Man2b1
181	-0.6766891260535566	0.3515753162118118	0.6150103246073733	0.4539816239546814	Rpl21
182	1.3586213325996592	0.24583456714779278	0.9443652566070038	0.6093570503916309	Gclm
183					Amacr
184	0.8343579653115532	0.3423615864695785	0.7414503036850731	0.4655149698131535	Cldn4
185					Vps26c
186	0.3933865554345751	0.6092833582368905	0.6915994923856995	0.21518068388864495	Agpat1
187	0.9011878572161527	0.5594309669696057	1.3766866630511565	0.2522534971854615	Dpysl4
188					Map3k5
189	-0.9561186489053327	0.670134883778811	2.0324268984344354	0.1738377743363916	Scarb2
190					Atn1
191					Grcc10
192	-0.3417551938536152	0.35814894165044525	0.31561213566514557	0.4459363278672208	Phb2
193					Emg1
194	-0.37995889364468083	0.35684565282232467	0.34978355031476377	0.4475195895523544	Atp5if1
195					Terf2
196	0.6728996322530009	0.13619119745568242	0.3325374130516008	0.8658509615859736	Bet1l
197	-1.074734971959701	0.6231238325734216	1.9688194503191907	0.20542563799706096	Gosr2
198	-0.46804117539757756	0.43075203204544954	0.5153802199444484	0.3657726651183689	Col15a1
199	-0.954836358207196	0.43645811148035085	1.0661351294373833	0.36005743082642	Ddt
200	2.2972503442991234	0.38570726250447296	2.2680196739620904	0.41374218370091903	Cpsf2
201	1.1189784763215336	0.5518895237194269	1.674929985136366	0.2581478498811522	Psmd4
202	-0.6246193633060763	0.5069732935790664	0.8312488111838493	0.29501491789887313	Psmd4
203					Kifc3
204					Ptpn9
205	-0.047771637618022056	0.5373438033919417	0.06878978457033579	0.26974775500919074	Exoc7
206	-0.7555714091498246	0.23316305791977143	0.5073263281016073	0.6323402575686922	Dhx15
207	-0.33893652145499154	0.5298321128661366	0.47851921088663363	0.2758617228641762	Purb
208	0.823614655399284	0.2719225421141411	0.6133988403178108	0.5655547883301776	Nmi
209					Pbx3
210	0.024227965678527974	0.9574646334934306	0.41840113891064634	0.01887725888656203	Srsf5
211	0.32828665526649803	0.24693201023714528	0.2288656562398343	0.6074226080500216	Kpna4
212	-0.971596217344254	0.2215835395522119	0.6315939696170025	0.6544625045354815	Kpna3
213					Kpna6
214	-0.49123697275790196	0.6831543476501208	1.091320276354681	0.16548116343451807	Capn1
215	-1.7240393859650989	0.04768614428897048	0.5313650243107371	1.321607791462534	Abcc1
216	-0.3972035468855969	0.04611718314673351	0.12077208506228285	1.3361372274222287	Anp32a
217	-0.19948853282146894	0.5755775526196932	0.318557364761022	0.23989615178112006	Exoc4
218					Hax1
219					Sult2b1
220	-1.029019858785068	0.20515303851333752	0.6379723093006808	0.6879220463314664	Pld3
221					Dhodh
222					Rnf5
223					Atf6b
224	-0.41529099911750156	0.6628854335714608	0.8618845609972032	0.17856152418512636	Ech1
225	0.423912069754925	0.5173025475473694	0.5793146399416275	0.2862553828260989	Fkbp8
226	0.6221561261226556	0.2325771980898545	0.417068860159778	0.6334328658292839	Stx1a
227	0.2848002525426495	0.43087004022268904	0.3136958975869495	0.3656537027515388	Rabep1
228					Cd151
229	-0.7938725276173664	0.401847206438822	0.8149729272956724	0.3959390464537446	Psmd14
230					Ift81
231					Adam10
232					Npc1
233	-0.8739163857977436	0.6034315179491088	1.5103719644689744	0.21937200984896466	Scamp3
234	-0.6102248813063578	0.4348135423668687	0.6786271656455948	0.3616969381744881	Bet1
235					Stag2
236	-0.1699625381692531	0.8536703984503966	0.8462663428238896	0.06870977774728214	Anxa3
237					Anxa8
238	-0.4146679644061587	0.5892818990573888	0.6881370934789697	0.22967689890184242	Ap1b1
239					Pold2
240	1.6398546821928033	0.03103075880775923	0.4264165091091256	1.5082076043064767	Neu1
241					Hap1
242	-1.0293726459006338	0.6468967027704311	2.029189945927624	0.18916506245088083	Mgll
243	-1.3452950608308747	0.2664887622629574	0.9878393898284253	0.5743211002962811	Myadm
244	1.465000900264308	0.08453082480330518	0.5763159386895503	1.072984893407213	Ndufa1
245					Serpini1
246	-1.3863211113212253	0.10729704782888069	0.609015328914935	0.9694122270486304	Nudc
247					Phox2b
248	1.201256362025763	0.4625526706229239	1.4299831987149036	0.3348388072309208	Pnn
249	-3.8448432885113792	0.3718460219082921	3.6706925197927953	0.4296368603309109	Sptlc1
250					Ring1
251	-0.06048261394614918	0.8854288768899841	0.3859631490684415	0.05284631828503563	Hnrnph1
252	-0.7513382846030265	0.32801947767108386	0.6445872597315709	0.48410036728246836	Api5
253	-0.845224452446781	0.3234354736287419	0.7169796083520859	0.4902123494378485	Bcat2
254	-1.0784968270475974	0.709510133949001	2.6322681473747607	0.14904139712447728	Timm44
255	-1.446829659573498	0.09070083263738682	0.5876484054807293	1.0423887260803377	Cops5
256	0.8160318501614363	0.19285778892532013	0.4876722986825269	0.7147628166424949	Calu
257	-0.010940635302981505	0.9900580777785304	0.808917103069369	0.0043393285146484115	Lsm2
258	-0.7600769032937138	0.16142699143683664	0.41085558847462433	0.7920238472346861	Ctnnd2
259	1.8979549951243215	0.1428938203100408	0.9614929442531618	0.8449865526175757	Fxn
260					Aldh1a7
261	0.27022646565331576	0.3621531862903597	0.2519940043509985	0.44110768944370576	Pitpnm1
262					Psmb10
263	1.6193604092997789	0.5055791499805445	2.1473980918945075	0.29621084460523833	Rab33b
264	-0.17345299373983591	0.9025425701610725	1.3032038986880659	0.04453230460232672	Gamt
265	-2.587960848792986	0.38129084469348073	2.5278800097911986	0.4187436225963446	Mrpl23
266					Pbx2
267					KRT86
268	-0.7346806315835275	0.6395981505362103	1.4154859885146378	0.19409280073111818	Zw10
269	-1.0842478792543062	0.5167076111412932	1.4794503770723852	0.2867551412174126	Cavin1
270	-0.2592883388096081	0.6261605136819809	0.47937019129268427	0.20331432290677828	Ddost
271					Aox1
272	-0.2919761592232354	0.7763594282456776	0.9397133087452818	0.10993716847870222	Ap3d1
273	-0.5232539505568673	0.23833589116676213	0.35637067776169046	0.6228105520221502	Srpk2
274	-0.21938851691603478	0.5254313101311523	0.30620057022126307	0.27948405143568084	Man2b2
275					Dapk3
276					Dffa
277					Chka
278					Il16
279					Bysl
280					Rgs7
281	-1.8104706509587407	0.5681317994243422	2.832234957726462	0.24555090174893845	Csnk2a2
282					Arhgap6
283					Gucy1b1
284					Itgb3
285					Cd200
286	0.02186205892093185	0.9839012835507972	0.9981665417068087	0.007048472869268097	Reps1
287					Akap2
288	0.11818782257667859	0.8926728141006481	0.8056453672152244	0.0493076912436762	Smarce1
289	1.383231319693824	0.10821235908249333	0.6101275262016217	0.9657231350260959	Dnajb6
290					Prkag1
291	-0.4659191331438405	0.6726552412997344	0.9987902142453097	0.17220746945299206	Banf1
292	-0.4098586987642383	0.5559696511038408	0.6202737411471198	0.2549489147450424	Get3
293	-0.7850018632550656	0.5694719055384664	1.2325624638525916	0.24452769664296917	Slk
294					Prom1
295					Bnip3
296	-2.050120387178311	0.0041444432156806515	0.2577324396676717	2.3825338063922654	Trappc3
297	0.10032977483038896	0.8660638068924766	0.5465753648560766	0.062450110337748756	Pgrmc1
298	-0.904688577654959	0.2888255291974331	0.7036950573665905	0.539364422253501	Impa1
299	0.5718263160040499	0.5964601152236808	0.9685790197693213	0.22441859192222163	Entpd2
300	3.025013031708052	0.0921904090405741	1.2378509234106236	1.0353142580940309	Bckdk
301	-0.21157747325547982	0.6808669943365999	0.4663578254444588	0.16693771814198582	Copb2
302	0.07633748825548418	0.6875029528233447	0.17216319515891154	0.1627254322000551	Nck2
303	-0.06415848006203809	0.7411209697883896	0.17706827567674469	0.13011089833147618	Snca
304	0.9420058256347914	0.15360509007902726	0.49574695295089183	0.8135943926599307	Pde6d
